時間戳記,公司名稱,職務(名片上的前綴抬頭),"職級(Junior, Senior, Staff, etc...)",相關年資（年）,現職年資（年）,月底薪（萬元，新台幣）,Bonus（幾個月）,總年薪（萬元，含分紅、年終與底薪）,每日平均工時（小時）,每月加班情況,加班頻率（1–5，1＝幾乎不加班，5＝非常頻繁）,爽度（1–5，5＝最爽）,Loading（1–5，5＝最忙）,心得、是否推薦、面試相關資訊等
2026/8/28 上午 3:04:57,匿名, SA,無,4,4,7,2,105,7,幾乎沒有,1,4,3,
2026/8/28 上午 6:34:43,ITRI,RD,資深工,9,9,12,3.5,170,9,不常,2,3,3,
2026/8/28 上午 9:37:46,美超微,product manager,Junior,15,3,12,2,250,8,不常,1,3,1,非核心產品部門不要來
2026/8/28 上午 10:09:09,石敢當科技股份有限公司,系統工程師,Staff,5,1,54000,2,76,8,0,1,4,1,
2026/8/28 上午 10:18:05,CYBERBIZ,前端工程師,一般,7,4,66萬,2,90,8,0,1,3,3,每個team的氣氛差很大
2026/8/28 上午 10:20:09,曙客股份有限公司,Android Software Engineer,Senior,3.8,0.7,79000,2,113400,7,0,1,3,2,
2026/8/28 上午 10:32:10,cyberlink,Engineer,Junior,1.8,1.8,8.8,1.6,137,8,一周1-2天,2,4,3,
2026/8/28 上午 10:36:16,中佑資訊,資深軟體工程師,Senior,7.5,7.5,720000,3,1050000,3,0,1,4,2,
2026/8/28 上午 10:43:57,CHT,高級工程師,Senior ,5.5,5.5,83000,7.5,145,2.5,0,1,5,2,
2026/8/28 上午 11:15:42,新思科技,Software Engineer,Staff,8,8,17,1,225,9,還好,3,1,3,CEO快下台
2026/8/28 上午 11:16:48,益華電腦,Solution Engineer,Principle,6,1,20,3,285,7,無,2,4,3,
2026/8/28 上午 11:19:41,國泰,前端,高級工程師,6,2,5.7,9,120,8,幾乎不,1,4,4,適合養老，部門落差很大
2026/8/28 上午 11:28:44,CYBERBIZ,資深工程師,Senior,4,4,5.6,3,95,8,0,1,4,3,推，不敢說薪資很好，但工作環境和文化應該是前段班，如果想追求穩定，工作和生活平衡可以來面試看看。但目前只找資深。
2026/8/28 上午 11:41:02,dcard,senior backend engineer ,senior ,8,4,11,1,140,7,0,1,5,3,非常推薦，但每年裁員
2026/8/28 上午 11:44:12,凌群電腦,軟體工程師,Junior,3,1,53000,2,70,8,0,1,3,2,
2026/8/28 上午 11:52:02,精誠資訊,程式分析師,Junior,2.5,1,4.6,1,59.8,7,無,1,3,3,剛畢業可以來
2026/8/28 下午 12:51:55,三竹資訊股份有限公司,後端工程師,Junior,2,1,6,2,84,9,常常0.5~1個小時,3,1,4,"否，大主管不喜歡新技術，像是k8s,nginx"
